"id","name","key_words","extend_ids","extend_key_words"
"1","技术陷阱","技术 陷阱 工业革命 创造性创新 替代性创新 失业 陷阱1","1 13 5 6 17 7 18 8 9 20","陷阱1 失业 技术 共生 陷阱 情绪 词典 创造性创新 技术1 价值 替代性创新 工业革命"
"2","价值共生","价值 共生","2 3 14 18 10","持续 成长 共生 价值 创造性创新"
"3","持续成长","持续 成长 价值","11 2 3 14 15 18 19 10","持续 成长 共生 价值 创造性创新"
"4","情绪词典","情绪 词典","12 4 16 20","失业 情绪 词典"
"5","技术陷阱5","技术 陷阱","1 13 5 17 7 8 9","陷阱1 失业 技术 陷阱 创造性创新 替代性创新 工业革命"
"6","技术陷阱6","技术1 陷阱1","1 13 5 6 17 7 8 9","陷阱1 失业 技术 陷阱 创造性创新 技术1 替代性创新 工业革命"
"7","技术陷阱7","技术 陷阱","1 13 5 17 7 8 9","陷阱1 失业 技术 陷阱 创造性创新 替代性创新 工业革命"
"8","技术陷阱8","技术 陷阱","1 13 5 17 7 8 9","陷阱1 失业 技术 陷阱 创造性创新 替代性创新 工业革命"
"9","技术陷阱9","技术 陷阱","1 13 5 17 7 8 9","陷阱1 失业 技术 陷阱 创造性创新 替代性创新 工业革命"
"10","价值共生10","价值 共生","2 3 14 18 10","持续 成长 共生 价值 创造性创新"
"11","持续成长11","持续 成长","11 3 15 19","持续 成长 价值"
"12","情绪词典12","情绪","12 4 16 20","失业 情绪 词典"
"13","技术陷阱13","技术 陷阱","1 13 5 17 7 8 9","陷阱1 失业 技术 陷阱 创造性创新 替代性创新 工业革命"
"14","价值共生14","价值 共生","2 3 14 18 10","持续 成长 共生 价值 创造性创新"
"15","持续成长15","持续 成长","11 3 15 19","持续 成长 价值"
"16","情绪词典16","情绪","12 4 16 20","失业 情绪 词典"
"17","技术陷阱17","技术 陷阱","1 13 5 17 7 8 9","陷阱1 失业 技术 陷阱 创造性创新 替代性创新 工业革命"
"18","价值共生18","价值 共生 创造性创新","1 2 3 14 18 10","陷阱1 持续 失业 技术 成长 共生 陷阱 创造性创新 价值 替代性创新 工业革命"
"19","持续成长19","持续 成长","11 3 15 19","持续 成长 价值"
"20","情绪词典20","情绪 词典 失业","1 12 4 16 20","陷阱1 失业 技术 陷阱 情绪 词典 创造性创新 替代性创新 工业革命"
